County,Year,LST,Precipitation,NDVI,RH,avg_temp,max_temp,min_temp,Cases
Navajo,2011,30.03342229,0.628843401,0.206275966,71.82871567,12.57197465,25.783,-1.301,30
Apache,2011,28.325784,0.704596759,0.235298085,75.8270953,11.44629084,24.867,-2.217,0
Pima,2012,36.94172003,0.702513821,0.202034119,61.09681097,21.04666513,34.895,10.647,28
Santa Cruz,2012,32.50245804,1.033196206,0.293179061,66.36778951,17.60802862,31.808,7.256,0
Gila,2012,28.77309423,1.167067986,0.366191879,63.05577271,15.67992998,29.25,3.538,6
Yuma,2012,40.09724419,0.342596489,0.142217591,61.01013729,23.73554949,37.056,12.821,0
Cochise,2012,34.10565967,0.804653611,0.222762587,66.81806961,17.51659609,30.858,6.324,0
Yavapai,2012,31.17565561,1.00718607,0.288770467,62.00662658,15.91048172,29.32,3.476,1
La Paz,2012,38.54974824,0.419044748,0.147478035,55.54274248,22.91798309,36.144,11.671,0
Mohave,2012,32.71447397,0.666196653,0.202802784,52.18008464,17.2981525,30.872,6.101,0
Coconino,2012,27.84862581,0.878751228,0.247581075,71.43590808,12.35084742,26.732,0.674,0
Greenlee,2012,29.15393924,1.020527543,0.301742956,70.27692241,14.1701421,26.63,1.528,0
Graham,2012,32.93520801,0.761584844,0.256961184,66.26802677,17.14238492,30.327,5.602,1
Pinal,2012,36.83437567,0.678677965,0.21777132,59.15644219,21.4098961,35.084,10.444,1
Maricopa,2012,38.21723907,0.537944415,0.186599048,57.21890077,22.41783872,35.693,11.09,1
Navajo,2012,29.87864995,0.702156142,0.212543315,74.85805909,12.53934401,26.902,0.92,10
Apache,2012,28.14010875,0.750748967,0.234980688,78.5772672,11.33851584,26.165,0.029,2
Pima,2013,36.91276693,0.781198451,0.206927763,65.45252306,21.07756216,34.569,9.932,34
Santa Cruz,2013,32.03554142,1.186287858,0.305862269,73.61115431,17.57825233,31.476,6.438,0
Gila,2013,28.16911946,1.249993947,0.370106989,66.21889531,15.66738727,28.351,2.521,15
Yuma,2013,40.47326536,0.361295159,0.147225215,61.19885412,23.89784587,36.6,12.147,0
Cochise,2013,33.1470507,1.03978253,0.236533994,74.85252779,17.38164788,29.913,5.322,0
Yavapai,2013,30.65274609,1.07508519,0.288144789,63.89197531,16.04934064,28.352,3.202,0
La Paz,2013,38.64266972,0.463646144,0.153203209,55.94013332,23.08450026,35.782,11.143,0
Mohave,2013,32.50197362,0.660994268,0.198201146,53.43484572,17.46191104,29.964,5.504,0
Coconino,2013,27.43680016,0.868808422,0.247610838,73.81878324,12.42803181,24.995,-1.022,1
Greenlee,2013,28.21006389,1.163458644,0.313747408,75.68334734,13.91820821,25.447,-0.872,0
Graham,2013,32.34526806,0.874379408,0.256515449,71.76511244,16.87930749,29.306,4.048,0
Pinal,2013,36.64590236,0.768258622,0.220751054,62.65978747,21.35663057,34.692,9.491,2
Maricopa,2013,37.90094915,0.642905542,0.199402836,59.11751732,22.46025123,35.076,10.424,1
Navajo,2013,29.11914288,0.742574531,0.214264833,79.21456173,12.50378681,25.08,-1.371,8
Apache,2013,27.27806713,0.787547801,0.239161375,83.67817249,11.2750533,24.391,-2.658,2
Pima,2014,36.15541289,0.909018431,0.219502938,69.73246004,21.22003578,34.18,11.005,3
Santa Cruz,2014,30.95054491,1.416337151,0.330442383,79.39840829,17.60097033,31.377,7.645,1
Gila,2014,27.93138802,1.326720064,0.381244223,67.36285809,15.94112953,28.295,3.964,9
Yuma,2014,40.58504662,0.325536877,0.143838636,62.54115792,24.19412178,36.243,12.619,0
Cochise,2014,32.1141933,1.190264809,0.253904057,79.30370244,17.46208834,30.64,6.496,0
Yavapai,2014,30.52870884,1.087961085,0.294133922,65.67977933,16.35872774,28.325,4.525,0
La Paz,2014,38.73699544,0.429849829,0.151155962,57.94088659,23.38759414,35.41,11.686,0
Mohave,2014,32.52407333,0.708429619,0.199128675,55.02475113,17.90931618,30.245,6.265,0
Coconino,2014,27.5992055,0.932577692,0.253374727,74.17702446,12.91263086,25.917,0.876,0
Greenlee,2014,27.67042878,1.271829335,0.331634443,76.64998051,14.19424629,25.854,1.258,0
Graham,2014,31.48427024,1.064763785,0.272733524,74.23514447,17.04435174,29.577,5.329,1
Pinal,2014,36.14338172,0.819681338,0.230611639,65.5166949,21.57615243,34.26,10.357,0
Maricopa,2014,37.86583032,0.615387236,0.205335048,61.38530852,22.77206564,34.548,10.923,1
Navajo,2014,28.99395017,0.874990564,0.221881679,79.30358866,12.99522679,25.877,0.229,1
Apache,2014,27.19999422,0.895107698,0.248727823,84.04223007,11.78806286,25.299,-1.019,0
Pima,2015,36.53334684,0.884637295,0.211907771,70.33302092,21.17871373,34.528,10.765,6
Santa Cruz,2015,31.18957927,1.374682792,0.326747298,80.02061176,17.5175212,31.133,7.56,0
Gila,2015,28.11774779,1.388485987,0.383287401,68.77416516,15.82585375,28.418,3.274,7
Yuma,2015,40.37694775,0.315906216,0.133920457,63.21676108,24.17467004,36.9,12.472,1
Cochise,2015,32.55788386,1.16621739,0.255841495,79.1368807,17.39064741,30.117,6.683,1
Yavapai,2015,30.76809491,1.169651251,0.294312352,67.56074848,16.19114663,28.94,3.589,0
La Paz,2015,38.60765556,0.448160441,0.143685244,59.76109679,23.36067924,36.26,11.342,0
Mohave,2015,32.4471823,0.836780128,0.199910499,57.59238395,17.7034746,31.172,5.751,0
Coconino,2015,27.42990165,1.050854007,0.251842492,77.36763657,12.66879543,26.705,0.059,1
Greenlee,2015,27.94555935,1.325673081,0.332714884,77.463047,14.13020356,25.918,1.462,0
Graham,2015,31.36360112,1.140533168,0.283737695,75.22278744,17.0350386,29.541,5.471,1
Pinal,2015,36.25219373,0.790275175,0.228848372,65.9388695,21.53848891,34.558,10.461,0
Maricopa,2015,38.06851769,0.572098326,0.192662376,61.8475263,22.80213668,35.27,10.734,0
Navajo,2015,29.11888988,0.942095035,0.220528742,80.9773656,12.86087767,26.576,0.275,0
Apache,2015,27.16941234,0.980091723,0.248440445,85.79369018,11.60653816,25.801,-0.692,0
Pima,2016,38.0713269,0.701644464,0.20239764,65.11804488,21.76886309,34.518,10.267,7
Santa Cruz,2016,32.88021645,1.134465478,0.313810702,74.25090778,18.24293163,31.465,6.779,0
Gila,2016,29.54799993,1.148037925,0.3841553,65.52220229,16.39028633,28.438,2.556,14
Yuma,2016,41.08954003,0.250696721,0.135891081,59.40586259,24.46205058,36.634,12.354,0
Cochise,2016,34.17020751,0.951819032,0.248072114,74.02320689,18.08017754,30.488,5.936,0
Yavapai,2016,31.90858265,1.099809465,0.300400104,65.60397507,16.64557857,28.585,3.352,0
La Paz,2016,39.18736789,0.399700812,0.151467371,56.94813738,23.63728937,36.05,11.278,0
Mohave,2016,33.24498062,0.749789438,0.207439578,56.00919073,18.03419338,30.34,6.023,0
Coconino,2016,28.70903556,0.873621535,0.252590124,75.02389659,13.19674643,26.046,0.025,0
Greenlee,2016,29.07621955,1.023071418,0.32756907,75.12486162,14.64320007,25.642,-0.283,0
Graham,2016,32.82764808,0.879875037,0.279914758,71.51533347,17.66305557,29.586,4.485,0
Pinal,2016,37.51813181,0.685701252,0.226892579,61.05147413,22.06177188,34.389,10,0
Maricopa,2016,38.99595318,0.515748499,0.195269923,57.86162767,23.17312337,34.836,10.672,0
Navajo,2016,30.60556163,0.696620318,0.215970679,77.56718608,13.45596435,26.297,0.064,1
Apache,2016,28.5834865,0.750866704,0.247375976,82.7761151,12.19858714,25.53,-1.278,1
Pima,2017,37.46251131,0.809414772,0.209524096,64.37828378,21.72075712,35.501,10.394,8
Santa Cruz,2017,32.84387246,1.177370363,0.317920777,73.62794099,18.25264155,32.524,7.313,1
Gila,2017,30.01546322,1.07579826,0.379279372,63.73568132,16.53768373,29.231,3.375,12
Yuma,2017,40.743465,0.326482096,0.141575677,59.78634039,24.29363831,37.164,12.489,0
Cochise,2017,34.13641259,0.951350137,0.246648502,73.30738049,18.13368571,31.276,6.332,1
Yavapai,2017,31.85105686,1.003286637,0.303022685,63.96543989,16.75994472,29.056,2.971,0
La Paz,2017,38.94098986,0.331012011,0.155853928,56.16095251,23.57462352,36.366,11.547,0
Mohave,2017,33.09681449,0.601491556,0.208725228,53.58070697,18.16010072,30.92,5.605,0
Coconino,2017,29.03923483,0.790893006,0.255699944,70.78390798,13.44687524,26.519,-0.442,0
Greenlee,2017,29.64843707,0.941420005,0.327052801,73.43392109,14.98170514,26.428,1.304,0
Graham,2017,33.28079607,0.828843672,0.274687053,69.97359745,17.84752506,30.384,5.454,2
